"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.329755515802","-19.375078428912","-21.4352493632935","-13.5351945401229","-33.7732858976098","-38.2590154100344","-32.7495531112478","-38.0012062769965","-33.836411938194","-29.0439852387269","-27.910492609457","-21.5725576012725","-18.320285111243","-19.0853718174464","-16.6891463455925","-15.5133426835103","-16.7381751108298","-20.5963331213698","-26.0108688134131","-27.9324342519268","-25.1461453399825","-24.3891971340191","-20.8380529949826","-20.8480778829188","-18.6581036515499","-12.2312919186907","-8.58940773807557","-10.7702852297441","-13.6873189639974","-13.4125514047009","-9.95883370922085","-7.8570088425865","-0.960817340158491","-0.810471614034438","0.554006921126867",
"American Samoa","ASM","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.59375","-11.6412213740458","-21.6110019646365","-24","-29.0060851926978","-23.1660231660232","-20.8928571428571","-4.2962962962963","-30.8900523560209","-40","-25.46875","-30.2507836990596","-41.3685847589425","-35.2154531946508","-31.2965722801788","-43.1372549019608","-35.3677621283255","-33.2302936630603","-35.9223300970874","-48.2666666666667","-30.7692307692308","","",
"Antigua and Barbuda","ATG","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.47533250414371","11.33744373533","8.02226791614971","1.16768135980946","-5.71405643617104","0.791605973299924","-10.5176023634236","-7.15253343936529","-8.25599784115419","","",
"Australia","AUS","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","-1.0653665583243","-2.61735419630156","1.30979818989263","-0.82670410232413","1.17170956660863","-2.04363197378632","-2.19415166304392","-1.00805709870866","-2.18425827655859","-1.37693106185504","-0.243862786538774","-0.274936219750824","0.850767711232827","3.12913973746538","-0.0646091148551265","-0.45329516110924","0.13917383531896","-0.629904890598202","-0.964220104893441","-1.04671039889519","0.525948266896459","-1.82922026778682","-3.28727396792903","-2.02941704414668","-1.42634527101964","-2.04455994191157","-3.06391950167705","-1.59585984369653","-0.659309511926108","-1.82985771695449","-1.9231386967727","-0.132424181137018","0.271924021924022","-0.32033028010328","-0.514554763328383","-1.96270616280055","-0.452767553486121","0.274132557283106","-0.877571108546602","-2.44030704060906","-2.15475482665685","0.0859483009660702","0.00423030857457109","-2.08714145544559","-2.6846771570984","-2.71200140041191","-1.8523687330242","-1.64101217329662","-2.54902176870864","0.281107083089895","-0.929065062154897","1.02336244033558","-0.177979100949","-1.31974128179091","-0.30881623776912","-1.53167935523792","-2.4165909691335","0.309503287050075","0.0521159906516942","2.13185410300007","3.38902225050374","3.81087168511982","5.24140582724585","4.37329820725348","2.09618959994522",
"Austria","AUT","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","-0.0771838338370167","-0.310980428276099","-0.436396141478542","-0.620518780588396","-1.34426039110626","-0.411477492370854","-2.42071398404687","-4.38686712401502","-1.44345788688527","-1.56178861862477","-3.45238900149846","-2.40464901324706","-0.636617769833576","-1.52175006050192","-1.07719304826993","-0.241467322562953","-0.0192461893047688","-0.0414786790033353","-0.422354833036891","-0.509953930244417","-0.0939114365113532","-0.870843623062506","-1.32482393611731","-0.338583264900741","-1.67659546143596","-1.19500390746777","-1.59384513711974","-0.815608855733271","-0.226340414734237","0.455692199322266","1.33957519206717","1.70736364263688","3.71761308328935","2.76921886016437","2.96417801972462","3.2275485575707","3.62058654998874","4.41600804217518","4.4530783222148","3.3733282622964","3.52308166982659","2.80905539396661","2.81019349320623","2.79426795540354","3.21557420300824","3.67444279838779","3.75330956943826","3.095992595356","3.02650897518658","3.58432988144226","3.37796583052568","0.874450668670014","-0.458104663863343","2.11521383287576","3.31141039786897",
"Azerbaijan","AZE","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63847203274215","4.45359281437126","31.6072280658078","-18.5656050955414","-5.90709901254337","-20.920423657325","-30.9924613920808","-24.0097520818162","-31.8287507992792","-13.8857248814601","1.79309467794239","4.18203025058319","-7.28247422680412","-23.5387952144406","-23.9290989660266","10.0403274106608","27.745889833673","39.6160152324536","42.309378830611","28.5274496861087","33.6234546096786","32.345916055451","27.6862908425992","22.1558213880582","17.0638881216523","2.98804707613093","2.77798004805942","6.6934137832005","16.5120111871348","12.2831095948286","-0.770755916729702","16.6906286479434","32.9914228794374","14.4569408844751","9.11522356870909",
"Burundi","BDI","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","-0.892858208819296","-1.72413799898081","-3.27868843244904","-6.7669173513806","2.01342199000048","-2.18632595861411","-2.21602055759719","-1.08518684699699","-3.07111665626949","-2.43585891966593","-0.932242891647951","-5.73593024674896","-3.34052622317716","-2.31655792831891","-5.78054028209419","-10.7261248706742","-2.92639286785467","0.304191305688925","-8.51870801871075","-8.55949688106588","-14.4826844690572","-12.8943451869076","-16.6954709946266","-15.7021796578513","-12.0483028831101","-9.76028323162165","-10.5924020961946","-15.993728791737","-13.3624132031271","-13.1978214130121","-19.9021549634306","-18.5878050760271","-20.7277703678362","-17.7790749100585","-18.2099934843682","-14.3519407065019","-9.93308023565184","-4.60443407234539","-11.4405297351324","-8.38823012736056","-9.91578330051543","-10.6056412853157","-12.3022210446015","-14.6134840286502","-17.6706216078391","-22.6999985102347","-27.8","-25.1999985005769","-26.1999990581533","-22.6000030116235","-20.1000021191125","-25.4000022698786","-24.3131825525616","-28.4135669490994","-25.6029834176782","-10.0037362850874","-10.2746808775233","-10.1871444437881","-15.2283938361636","-18.6821300012655","-17.6746899989269","-18.8180799996576","-18.3731233434624","-19.1590769174256","",
"Belgium","BEL","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","2.18525100801061","1.95084542122134","3.06011724961253","1.9197936894122","0.515638509476109","0.308324456374839","0.293007289615935","-0.66302229890482","-0.789315579387935","-1.72809354516404","-2.82088681605555","-2.09430803063721","-1.71872593361769","0.395690649368483","0.593968330662434","1.03166874442395","2.23907513125259","1.81642621103067","2.3932198944929","2.19656519091369","1.75953083661411","1.86917204775884","2.54857316184278","3.20274531820055","3.61761865723349","3.85017561479431","3.1720061543602","3.88422210471594","3.639567404539","3.95612849122355","2.86465524907909","3.64707800596894","5.57744590327235","5.35746418388038","4.89414954600385","4.03660717280743","4.0424848109266","4.13516253034976","0.672792159959925","2.05374841581906","1.49401611706123","-0.222788184358147","-0.285357156574466","0.249204100286785","0.22143020651756","0.686796394072263","0.178566802445275","-0.0152681327682546","-1.3115794449433","0.469376147290335","1.44361983987524","1.86881777035818","-1.46025309090392","-0.599745690517671","-0.0131273800501935",
"Benin","BEN","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","-5.98637219087026","-4.95114258782902","-6.44148126454473","-7.80453859413983","-7.10582688020929","-7.63814750736755","-9.34951809935988","-12.1064442202239","-9.74194419289292","-9.65528650007847","-9.28474378366091","-10.0468155355971","-12.4157471786854","-10.2881913122997","-15.1778922311151","-18.8847361060182","-18.0372650893119","-18.6018802903837","-18.020276224456","-19.5054092038873","-21.5055938406574","-28.0283711758665","-22.3152637145293","-17.8134335029429","-11.352552849487","-12.9959812703382","-15.9395758071977","-15.6830789744695","-18.2793496056772","-11.3095093963336","-7.3575761238337","-9.33974471005403","-10.2624497055636","-10.4530330601494","-7.74644201896591","-9.06225500496933","-3.52016833646983","-4.35936042248679","-5.40774619613026","-8.37272756433197","-6.13754640337354","-8.52001301611503","-4.31520097976713","-4.32763605726718","-2.87587920468453","-2.12865122698031","-3.65884728692718","-5.02807792209785","-3.49391873695689","-4.84669538420423","-5.28676381518234","-5.51772580559703","-2.94326304508683","-4.05906119456361","-2.40659269318999","-7.31541076286973","-3.77335219543113","-7.06540739508102","-7.2467332525278","-4.42027792713439","-5.08829252156787","-6.21724848149434","-2.75093279285089","-4.656092635883","-2.95948840387229",
"Burkina Faso","BFA","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","-10.9774391652808","-10.3610903621942","-10.1739809974079","-10.0895171174388","-8.71960327430893","-6.7240240383711","-6.5967574866648","-8.99880082125509","-9.08265253035232","-10.7151808837285","-10.6865299561208","-14.4196215809879","-14.8892724708551","-16.6077411507476","-16.1521525481315","-22.8028620110901","-18.8029907875215","-22.483000027195","-20.2824100523635","-21.0363092912992","-22.3119866348989","-22.1587030377373","-23.4283191872857","-21.6899984494004","-17.7968784123773","-21.1046175946421","-19.9806031554564","-16.722312723157","-16.132281903392","-14.8970347599155","-13.4892676162715","-12.9011395414928","-10.6810556399553","-11.7219973906899","-10.8259799478019","-12.4663583383578","-17.0530873580527","-15.7913567834157","-15.3235775312449","-18.5468047700204","-17.4335069998909","-13.5700052800125","-13.581791588413","-11.9273730909208","-13.717768999156","-14.4884748119236","-13.1928153500508","-13.0826328559089","-15.0866628753806","-12.7180419507457","-8.04154082900233","-5.10625206459666","-8.04243714590839","-9.88188039635833","-4.95955418543457","-6.87389023876136","-6.06124319093853","-6.36400893191666","-4.43781333980506","-1.89330156076386","2.81395274140868","3.17378837158252","-1.35418814817572","-7.09773009711057","-6.45369177206401",
