"Country","NUTS1_ID","NUTS2 code+name","NUTS2_ID","NUTS2_name","Fund","Year","Programming_Period","EU_Payment_annual","Modelled_annual_expenditure","Standard_Deviation_of_annual_expenditure","Standard_Error_of_modelled_annual_expenditure"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2007","2007-2013","1,495,170","2,163,574","96,539","3,052"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2008","2007-2013","2,242,755","3,617,734","198,591","6,280"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2009","2007-2013","6,856,347","7,875,947","147,263","4,656"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2010","2007-2013","10,277,507","9,396,518","127,243","4,023"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2011","2007-2013","7,321,443","8,382,335","153,227","4,845"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2012","2007-2013","10,881,150","13,197,641","601,356","19,016"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2013","2007-2013","16,996,047","14,782,154","337,460","10,671"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2014","2007-2013","9,921,736","8,901,505","419,171","13,255"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2015","2007-2013","3,956,225","5,476,882","335,842","10,620"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2017","2007-2013","1,711,170","0","0","0"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ESF","2020","2007-2013","2,134,739","0","0","0"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2007","2007-2013","2,407,071","4,162,575","199,951","6,323"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2008","2007-2013","4,865,759","5,141,356","31,390","992"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2009","2007-2013","5,629,637","8,252,605","298,754","9,447"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2010","2007-2013","12,899,764","14,304,446","159,992","5,059"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2011","2007-2013","16,793,146","16,557,995","1,585,287","50,131"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2012","2007-2013","13,058,840","16,791,710","888,583","28,099"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2013","2007-2013","21,297,402","19,790,204","680,960","21,533"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2014","2007-2013","15,113,911","17,270,602","1,901,051","60,116"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2015","2007-2013","22,270,370","18,082,084","1,162,454","36,760"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ERDF","2018","2007-2013","6,017,679","0","0","0"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2007","2007-2013","2,181,192","3,156,515","140,823","4,453"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2008","2007-2013","3,271,788","5,278,408","289,729","9,162"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2009","2007-2013","10,003,136","11,492,254","215,008","6,799"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2010","2007-2013","14,998,487","13,709,409","186,125","5,885"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2011","2007-2013","10,674,186","12,227,400","224,263","7,091"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2012","2007-2013","15,884,551","19,255,594","876,422","27,714"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2013","2007-2013","24,775,399","21,550,271","491,087","15,529"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2014","2007-2013","14,468,412","12,987,031","612,312","19,363"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2015","2007-2013","5,789,427","8,004,905","490,875","15,522"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2017","2007-2013","2,504,077","0","0","0"
"DE","DE2","DE24 Oberfranken","DE24","Oberfranken","ESF","2020","2007-2013","3,111,130","0","0","0"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2007","2007-2013","876,007","1,514,890","72,768","2,301"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2008","2007-2013","1,770,800","1,871,098","11,423","361"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2009","2007-2013","2,048,799","3,003,378","108,726","3,438"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2010","2007-2013","4,694,623","5,205,831","58,226","1,841"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2011","2007-2013","6,111,546","6,025,967","576,935","18,244"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2012","2007-2013","4,752,517","6,111,024","323,383","10,226"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2013","2007-2013","7,750,784","7,202,268","247,822","7,836"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2014","2007-2013","5,500,420","6,285,307","691,851","21,878"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2015","2007-2013","8,104,877","6,580,630","423,053","13,378"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ERDF","2018","2007-2013","2,190,019","0","0","0"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2007","2007-2013","2,180,431","3,156,680","140,718","4,449"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2008","2007-2013","3,270,647","5,280,635","289,724","9,161"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2009","2007-2013","10,004,545","11,502,161","215,870","6,826"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2010","2007-2013","15,021,885","13,712,718","188,706","5,967"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2011","2007-2013","10,635,890","12,218,076","228,060","7,211"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2012","2007-2013","15,936,559","19,262,275","871,624","27,563"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2013","2007-2013","24,666,746","21,466,937","484,551","15,322"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2014","2007-2013","14,433,327","12,989,405","616,481","19,494"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2015","2007-2013","5,882,767","8,082,067","495,685","15,674"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2017","2007-2013","2,544,449","0","0","0"
"DE","DE2","DE25 Mittelfranken","DE25","Mittelfranken","ESF","2020","2007-2013","3,093,708","0","0","0"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2007","2007-2013","1,081,928","1,870,991","89,873","2,842"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2008","2007-2013","2,187,058","2,310,933","14,109","446"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2009","2007-2013","2,530,404","3,709,374","134,284","4,246"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2010","2007-2013","5,798,176","6,429,551","71,913","2,274"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2011","2007-2013","7,548,171","7,442,475","712,553","22,532"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2012","2007-2013","5,869,677","7,547,525","399,399","12,630"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2013","2007-2013","9,572,740","8,895,285","306,077","9,679"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2014","2007-2013","6,793,389","7,762,776","854,483","27,021"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2015","2007-2013","10,010,068","8,127,520","522,499","16,522"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ERDF","2018","2007-2013","2,704,821","0","0","0"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2007","2007-2013","1,678,102","2,429,278","108,307","3,424"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2008","2007-2013","2,517,153","4,063,551","222,965","7,050"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2009","2007-2013","7,699,056","8,850,480","166,016","5,249"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2010","2007-2013","11,557,421","10,552,527","144,889","4,581"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2011","2007-2013","8,190,070","9,403,920","175,017","5,534"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2012","2007-2013","12,257,622","14,822,889","671,399","21,231"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2013","2007-2013","18,996,973","16,531,197","373,741","11,818"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2014","2007-2013","11,112,063","9,995,997","473,881","14,985"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2015","2007-2013","4,515,126","6,209,752","380,843","12,043"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2017","2007-2013","1,952,909","0","0","0"
"DE","DE2","DE26 Unterfranken","DE26","Unterfranken","ESF","2020","2007-2013","2,383,096","0","0","0"
"DE","DE2","DE27 Schwaben","DE27","Schwaben","ERDF","2007","2007-2013","685,441","1,185,341","56,938","1,800"
